Syngnathus scovelli
Atractosteus spatula
Ammocrypta vivax
Paralichthys lethostigma
Etheostoma collettei
Fundulus grandis
Notropis potteri
Lepomis auritus
Dormitator maculatus
Ichthyomyzon gagei
Poecilia latipinna
Scaphirhynchus albus
Noturus phaeus
Cyprinodon variegatus
Etheostoma fusiforme
Lucania parva
Notropis petersoni
Notropis longirostris
Ammocrypta beanii
Etheostoma stigmaeum
Hybopsis winchelli
Lythrurus roseipinnis
Noturus leptacanthus
Crystallaria asprella
Heterandria formosa
Ambloplites ariommus
Etheostoma swaini
Etheostoma parvipinne
Noturus funebris
Percina lenticula
Noturus munitus
Percina vigil
Nocomis leptocephalus
Alosa alabamae
Lepomis punctatus
Percina copelandi
Etheostoma whipplei
Erimyzon tenuis
Enneacanthus gloriosus
Etheostoma vitreum
Petromyzon marinus
Percina peltata
Notropis procne
Clinostomus funduloides
Enneacanthus obesus
Cottus girardi
Cottus caeruleomentum
Noturus insignis
Alosa sapidissima
Cottus sp. Checkered Sculpin
Notropis amoenus
Percina bimaculata
Acantharchus pomotis
Alosa aestivalis
Percina notogramma
Lota lota
Gasterosteus aculeatus
Cottus cognatus
Oncorhynchus gorbuscha
Thymallus arcticus
Richardsonius balteatus
Salvelinus confluentus
Catostomus macrocheilus
Cottus ricei
Platygobio gracilis
Cottus confusus
Ptychocheilus oregonensis
Fundulus zebrinus
Coregonus clupeaformis
Salvelinus namaycush
Mylocheilus caurinus
Hybognathus placitus
Cottus rhotheus
Salmo salar
Prosopium cylindraceum
Cyprinella camura
Etheostoma lynceum
Noturus hildebrandi
Etheostoma pyrrhogaster
Etheostoma cervus
Etheostoma zonistium
Lythrurus ardens
Nocomis effusus
Etheostoma duryi
Etheostoma flavum
Noturus elegans
Notropis leuciodus
Etheostoma rufilineatum
Etheostoma oophylax
Etheostoma blennius
Notropis ammophilus
Etheostoma nigripinne
Etheostoma simoterum
Cyprinella galactura
Etheostoma atripinne
Etheostoma smithi
Erimystax insignis
Ictalurus lupus
Astyanax mexicanus
Herichthys cyanoguttatus
Poecilia formosa
Macrhybopsis marconis
Moxostoma congestum
Percina apristis
Notropis amabilis
Percina carbonaria
Macrhybopsis aestivalis
Notropis braytoni
Dionda diaboli
Cyprinella proserpina
Etheostoma grahami
Agonostomus monticola
Percina macrolepida
Cyprinella lepida
Dionda episcopa
Etheostoma lepidum
Cyprinodon eximius
Micropterus treculii
Gambusia geiseri
Dionda argentosa
Dionda nigrotaeniata
Notropis oxyrhynchus
Etheostoma artesiae
Notropis girardi
Fundulus kansae
Macrhybopsis tetranema
Gobiomorus dormitor
Notropis jemezanus
Notropis chihuahua
Campostoma ornatum
Fundulus blairae
Cyprinodon pecosensis
Etheostoma radiosum
Notropis buccula
Cyprinodon rubrofluviatilis
Notropis bairdi
Cottus perplexus
Cottus aleuticus
Entosphenus tridentatus
Cottus asper
Lampetra richardsoni
Novumbra hubbsi
Lampetra ayresii
Oncorhynchus keta
